Measure,All_mean,All_std,Early_mean,Early_std,Late_mean,Late_std,t_stat,p_value
NP3TOT,20.944444444444443,9.912539956500444,14.100917431192661,6.13740161161393,25.25626204238921,9.401482380070936,-20.877718461248218,2.4001502668208645e-78
RIGIDITY,3.640661938534279,2.692255214722503,2.345565749235474,1.765336887448186,4.456647398843931,2.8524779468399886,-13.296497697663693,9.16146852862716e-37
BRADY,9.619385342789599,5.778909018511589,5.752293577981652,3.1868863681285444,12.05587668593449,5.718185373815745,-20.553452363720446,2.9999661682991654e-76
PIGD,1.594562647754137,1.5719188847056598,1.0581039755351682,1.187739029175122,1.9325626204238922,1.6872447278478158,-8.833684279887965,5.90980140160743e-18
TREMOR,4.520094562647754,3.417525038313111,3.840978593272171,2.9998624134350473,4.9479768786127165,3.593643942728495,-4.835787076318519,1.5977301276392825e-06
